#layer 1	layer 2	layer 3	layer 4	layer 5	layer 6	layer 7	layer 8	BandID	phiID
1019	1001	1019	1001	1019	1019	1002	1002	2	57
1019	1001	1019	1001	1020	1020	1002	1002	2	57
1019	1019	1019	1019	1019	1019	1002	1002	2	52
1019	1019	1019	1019	1019	1019	1020	1020	2	46
1019	1019	1019	1019	1020	1020	1002	1002	2	52
1019	1019	1019	1019	1020	1020	1020	1020	2	46
1037	1019	1037	1019	1019	1019	1020	1020	2	41
1037	1019	1037	1019	1020	1020	1020	1020	2	41
1037	1019	1037	1019	1037	1037	1020	1020	2	34
1037	1019	1037	1019	1038	1038	1020	1020	2	34
1037	1037	1037	1037	1037	1037	1020	1020	2	29
1037	1037	1037	1037	1037	1037	1038	1038	2	24
1037	1037	1037	1037	1038	1038	1020	1020	2	29
1037	1037	1037	1037	1038	1038	1038	1038	2	24
1055	1037	1055	1037	1037	1037	1038	1038	2	18
1055	1037	1055	1037	1038	1038	1038	1038	2	18
1055	1037	1055	1037	1055	1055	1038	1038	2	12
1055	1037	1055	1037	1056	1056	1038	1038	2	12
1055	1055	1055	1055	1055	1055	1038	1038	2	4
1055	1055	1055	1055	1056	1056	1038	1038	2	4
1019	1001	1020	1002	1020	1020	1002	1002	3	57
1019	1001	1020	1002	1020	1020	1003	1003	3	57
1019	1019	1020	1020	1020	1020	1002	1002	3	52
1019	1019	1020	1020	1020	1020	1003	1003	3	52
1019	1019	1020	1020	1020	1020	1020	1020	3	46
1019	1019	1020	1020	1020	1020	1021	1021	3	46
1037	1019	1038	1020	1020	1020	1020	1020	3	41
1037	1019	1038	1020	1020	1020	1021	1021	3	41
1037	1019	1038	1020	1038	1038	1020	1020	3	34
1037	1019	1038	1020	1038	1038	1021	1021	3	34
1037	1037	1038	1038	1038	1038	1020	1020	3	29
1037	1037	1038	1038	1038	1038	1021	1021	3	29
1037	1037	1038	1038	1038	1038	1038	1038	3	24
1037	1037	1038	1038	1038	1038	1039	1039	3	24
1055	1037	1056	1038	1038	1038	1038	1038	3	18
1055	1037	1056	1038	1038	1038	1039	1039	3	18
1055	1037	1056	1038	1056	1056	1038	1038	3	12
1055	1037	1056	1038	1056	1056	1039	1039	3	12
1055	1055	1056	1056	1056	1056	1038	1038	3	4
1055	1055	1056	1056	1056	1056	1039	1039	3	4
1020	1002	1020	1002	1020	1020	1003	1003	4	57
1020	1002	1020	1002	1021	1021	1003	1003	4	57
1020	1020	1020	1020	1020	1020	1003	1003	4	52
1020	1020	1020	1020	1020	1020	1021	1021	4	46
1020	1020	1020	1020	1021	1021	1003	1003	4	52
1020	1020	1020	1020	1021	1021	1021	1021	4	46
1038	1020	1038	1020	1020	1020	1021	1021	4	41
1038	1020	1038	1020	1021	1021	1021	1021	4	41
1038	1020	1038	1020	1038	1038	1021	1021	4	34
1038	1020	1038	1020	1039	1039	1021	1021	4	34
1038	1038	1038	1038	1038	1038	1021	1021	4	29
1038	1038	1038	1038	1038	1038	1039	1039	4	24
1038	1038	1038	1038	1039	1039	1021	1021	4	29
1038	1038	1038	1038	1039	1039	1039	1039	4	24
1056	1038	1056	1038	1038	1038	1039	1039	4	18
1056	1038	1056	1038	1039	1039	1039	1039	4	18
1056	1038	1056	1038	1056	1056	1039	1039	4	12
1056	1038	1056	1038	1057	1057	1039	1039	4	12
1056	1056	1056	1056	1056	1056	1039	1039	4	4
1056	1056	1056	1056	1057	1057	1039	1039	4	4
1020	1002	1021	1003	1021	1021	1003	1003	5	57
1020	1002	1021	1003	1021	1021	1004	1004	5	57
1020	1020	1021	1021	1021	1021	1003	1003	5	52
1020	1020	1021	1021	1021	1021	1004	1004	5	52
1020	1020	1021	1021	1021	1021	1021	1021	5	46
1020	1020	1021	1021	1021	1021	1022	1022	5	46
1038	1020	1039	1021	1021	1021	1021	1021	5	41
1038	1020	1039	1021	1021	1021	1022	1022	5	41
1038	1020	1039	1021	1039	1039	1021	1021	5	34
1038	1020	1039	1021	1039	1039	1022	1022	5	34
1038	1038	1039	1039	1039	1039	1021	1021	5	29
1038	1038	1039	1039	1039	1039	1022	1022	5	29
1038	1038	1039	1039	1039	1039	1039	1039	5	24
1038	1038	1039	1039	1039	1039	1040	1040	5	24
1056	1038	1057	1039	1039	1039	1039	1039	5	18
1056	1038	1057	1039	1039	1039	1040	1040	5	18
1056	1038	1057	1039	1057	1057	1039	1039	5	12
1056	1038	1057	1039	1057	1057	1040	1040	5	12
1056	1056	1057	1057	1057	1057	1039	1039	5	4
1056	1056	1057	1057	1057	1057	1040	1040	5	4
1021	1003	1021	1003	1021	1021	1004	1004	6	57
1021	1003	1021	1003	1022	1022	1004	1004	6	57
1021	1021	1021	1021	1021	1021	1004	1004	6	52
1021	1021	1021	1021	1021	1021	1022	1022	6	46
1021	1021	1021	1021	1022	1022	1004	1004	6	52
1021	1021	1021	1021	1022	1022	1022	1022	6	46
1039	1021	1039	1021	1021	1021	1022	1022	6	41
1039	1021	1039	1021	1022	1022	1022	1022	6	41
1039	1021	1039	1021	1039	1039	1022	1022	6	34
1039	1021	1039	1021	1040	1040	1022	1022	6	34
1039	1039	1039	1039	1039	1039	1022	1022	6	29
1039	1039	1039	1039	1039	1039	1040	1040	6	24
1039	1039	1039	1039	1040	1040	1022	1022	6	29
1039	1039	1039	1039	1040	1040	1040	1040	6	24
1057	1039	1057	1039	1039	1039	1040	1040	6	18
1057	1039	1057	1039	1040	1040	1040	1040	6	18
1057	1039	1057	1039	1057	1057	1040	1040	6	12
1057	1039	1057	1039	1058	1058	1040	1040	6	12
1057	1057	1057	1057	1057	1057	1040	1040	6	4
1057	1057	1057	1057	1058	1058	1040	1040	6	4
1021	1003	1022	1004	1022	1022	1004	1004	7	57
1021	1003	1022	1004	1022	1022	1005	1005	7	57
1021	1021	1022	1022	1022	1022	1004	1004	7	52
1021	1021	1022	1022	1022	1022	1005	1005	7	52
1021	1021	1022	1022	1022	1022	1022	1022	7	46
1021	1021	1022	1022	1022	1022	1023	1023	7	46
1039	1021	1040	1022	1022	1022	1022	1022	7	41
1039	1021	1040	1022	1022	1022	1023	1023	7	41
1039	1021	1040	1022	1040	1040	1022	1022	7	34
1039	1021	1040	1022	1040	1040	1023	1023	7	34
1039	1039	1040	1040	1040	1040	1022	1022	7	29
1039	1039	1040	1040	1040	1040	1023	1023	7	29
1039	1039	1040	1040	1040	1040	1040	1040	7	24
1039	1039	1040	1040	1040	1040	1041	1041	7	24
