GFZ_NAME,QS1P1,QS1P2,QS1P3,QS1P4,QS1C4,QS1C3,QS1C2,QS1C1,QS2P1,QS2P2,QS2P3,QS2P4,QS2C4,QS2C3,QS2C2,QS2C1,QS3P1,QS3P2,QS3P3,QS3P4,QS3C1,QS3C2,QS3C3,QS3C4,QL1P1,QL1P2,QL1P3,QL1P4,QL1C4,QL1C3,QL1C2,QL1C1,QL2P1,QL2P2,QL2P3,QL2P4,QL2C4,QL2C3,QL2C2,QL2C1,QL3P1,QL3P2,QL3P3,QL3P4,QL3C4,QL3C3,QL3C2,QL3C1
i0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,58,,,58,58,
i1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,57,57,57,57,57,57,57
i2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,56,56,56,56,56,56,56
i3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,55,55,55,55,55,55,55
i4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54,54,54,54,54,54,54
i5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,53,53,53,53,53,53,53
i6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,52,52,52,52,52,52,52
i7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51
i8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50
i9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,,,49,49,,49,49,49,49,49,49,49,49
i10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
i11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
i12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
i13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
i14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
i15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
i16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
i17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
i18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
i19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
i20,,,,,,,,,,,,,,,,,,38,38,38,38,38,38,,,,,,,,,,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
i21,,,,,,,,,,,,,,,,,37,37,37,37,37,37,37,37,,,,,,,,,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
i22,,,,,,,,,,,,,,,,,36,36,36,36,36,36,36,36,,,,,,,,,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
i23,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,,,,,,,,,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
i24,,,,,,,,,,,,,,,,,34,34,34,34,34,34,34,34,,,,,,,,,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
i25,,,,,,,,,,,,,,,,,33,33,33,33,33,33,33,33,,,,,,,,,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
i26,,,,,,,,,,,,,,,,,32,32,32,32,32,32,32,32,,,,,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
i27,,,,,,,,,,,,,,,,,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
